"nome","verso"
"Água Viva","Eu conheço bem a fonteQue desce daquele monteAinda que seja de noiteNessa fonte tá escondidaO segredo dessa vidaAinda que seja de noite""Êta"" fonte mais estranhaQue desce pela montanhaAinda que seja de noiteSei que não podia ser mais belaQue os céus e a terra bebem delaAinda que seja de noiteSei que são caudalosas as correntesQue regam céus, infernos, regam gentesAinda que seja de noiteAqui se está chamando as criaturasQue desta água se fartam mesmo às escurasAinda que seja de noiteAinda que seja de noite...Eu conheço bem a fonteQue desce daquele monteAinda que seja de noitePorque ainda é de noiteNo dia claro dessa noite!Porque ainda é de noiteNo dia claro dessa noite!"
"Ain't She Sweet","Oh ain't she sweet, Well see her walking down that street               Yes I ask you very confidentially: Ain't she sweet? Oh ain't she nice, Well look her over once or twice Yes I ask you very confidentially: Ain't she nice? Just cast an eye in her direction Oh me oh my, ain't that perfection? Oh I repeat Well don't you think that's kind of neat? Yes I ask you very confidentially: Ain't she sweet? Oh ain't that nice, Well look it over once or twice Yes I ask you very confidentially: Ain't she nice?"
"Ainda Queima a Esperança","Uma vela está queimandoHoje é nosso aniversárioEstá fazendo hoje um anoQue você me disse adeusEu não sei se nessa chamaAinda queima a esperançaEu só sei que a saudadeAinda queima o coraçãoMeus parabéns agoraE feliz aniversário amorEstás feliz agoraDepois que tudo acabouDepois que tudo acabouTodo dia é o mesmo diaToda hora é qualquer horaQuanto tempo vou viverSem esquecer o seu amorSua história mal contadaNão me sai do pensamentoEu bem sei que foi desculpaTeve alguém em meu lugar"
"Al Capone","Cumquêquê! Cumquêcumquê!Quênêu!Cumquêquê! Cumquêcumquê!Quênêu!...Ei! Al CaponeVê se te emendaJá sabem do teu furo, negoNo imposto de rendaEi! Al CaponeVê se te orientaAssim desta maneira, negoChicago não aguenta...Ei! Julio CesarVê se não vai ao senadoJá sabem do teu planoPara controlar o EstadoEi! LampiãoDá no pé, desapareçaPois eles vão à feiraExibir tua cabeça...Ei! Al CaponeVê se te orientaAssim dessa maneira, negoChicago não aguenta-Cuidado aê Al Capone!...Ei! Al CaponeVê se te emendaJá sabem do teu furoMeu nego!No imposto de renda...Ei! Al CaponeVê se te orientaAssim dessa maneira, negoChicago não aguenta...Ei! Jimi HendrixAbandona o palco agoraFaça como fez SinatraCompre um carro e vá emboraEi! Jesus CristoO melhor que você fazDeixar o Pai de ladoE foge prá morrer em paz...Ei! Al CaponeVê se te orientaAssim dessa maneira, negoChicago não aguenta...Eu sou astrólogo!Eu sou astrólogo!Vocês precisam acreditar em mimEu sou astrólogo!Eu sou astrólogo!E conheço HistóriaDo princípio ao fim!..."
"Alice Maria","Ali eu nasciAli na BahiaAli conheciAlice MariaAli o amorAli se formouAli o amorAli se acabouAlice MariaAlice MariaAdeus ao amorQue ali se partiuAlice MariaAlice MariaAdeus ao amorQue ali se partia"
"All I Have To Do Is Dream / Put Your Head On My Shoulder / Dear Someone","Dream dream dream dreamDream dream dreamWhen I want youIn the nightWhen I want youTo hold me tightWhenever I want you all I have to doIs dream, yes, to dreamI can make you mineTaste your lips of wineAny timeNight or dayThe only trouble isGee, whizI'm dreaming my life awayWhen I want youOh, I could dieI need you soAnd that is why?Whenever I won youAll I have to do is dreamDream, dream, dream, dreamYes, to dream, dream now yaPut your head on my shoulderSqueeze me oh so tight, babyLet the kiss the nightYou know, maybeYou and I can fall in loveThey say that love's a gameA game you just can't winIf there's a wayI'll find it some dayAnd make this dream come truePut your head on my shoulderWhisper in my ear. BabyThings I want to hear, maybeYou and I will fall in loveI got a letter from a fan of mineShe sent her picturesBut the letter wasn't signedNow I'd like to meet herSo I hope she's listening...Dear someone, whoever you may beDear someone, I'm glad you wrote to meGot the photo you enclosedYou're a dream and heaven knowsI'm glad that you're a fan of mineI'd like to know you betterBut you didn't sign your letterOoh, dear someone, you with the ponytailPlease write me and this time, please, don't failOr how to know youI just know your calligraphyYou knowI love you anywayI love you"
"Aluga-se","A solução pro nosso povo eu vou dáNegócio bom assim ninguém nunca viuTá tudo pronto aqui, é só vim pegarA solução é alugar o Brasil!Nós não vamo paga nadaNós não vamo paga nadaÉ tudo free!Tá na hora, agora é freeVamo embora dá lugar pros gringo entrarEsse imóvel tá pra alugarAh! Ah! Ah! Ah! Ah! Ah!Os estrangeiros, eu sei que eles vão gostarTem o Atlântico, tem vista pro marA Amazônia é o jardim do quintalE o dólar deles paga o nosso mingauNós não vamo paga nadaNós não vamo paga nadaÉ tudo free!Tá na hora agora é freeVamo embora dá lugar pros gringo entrarPois esse imóvel está pra alugarAlugar! Ei!Grande solução!Nós não vamo paga nadaNós não vamo paga nadaAgora é free!Tá na hora, é tudo freeVamo embora dá lugar pros outro entrarPois esse imóvel tá pra alugarAh! Ah! Ah! Ah!Nós não vamo paga nadaNós não vamo paga nadaAgora é free!Tá na hora é tudo freeVamo embora dá lugar pros gringo entrarPois esse imóvelEstá pra alugarEstá pra alugar, meu Deus!Nós não vamo paga nada!Nós não vamo paga nada!É tudo free!Vamo embora!"
"Anarkilopólis","Eu estava na cidade comprando milho pras galinhasQuando um garoto chegou correndo para me avisarQue a diligência do correio tinha deixado uma carta pra mimUma carta? De quem seria essa merda? É, pois, masAh, não é que era da prefeitura de AnarkilópolisMe convidando para uma festa da sua emancipação, ok boyWhisky de montão eu vou beberE fazer tudo que eu quero fazerCada um manda no seu narizPor isso que o povo lá é felizÉ isso aí! Meu filho, é isso aíMontei no meu silver-jegueE parti com o firme propósitoDe unir o útil ao agradávelPois Anarkilópolis era tambémO berço da minha amadaA bela Josefina LeeFilha única do meu amigoXerife James AdeanEnquanto o jegue seguia rinchandoEu seguia pela estrada cantandoEu não sou besta pra tirar onda de heróiSou vacinado, eu sou cowboy, cowboy fora da leiDurango Kid só existe no gibiE quem quiser que fique aquiEntrar pra história é com vocêsQuando eu e meu jegue chegamos em AnarkilópolisPensei que tinha me enganado até de cidadeTinha uns caras mal encarados armados até os dentesPercebi logo a situaçãoOs bandidos haviam dominado o lugarE mantinham todos como refénsJames Adean não era mais o XerifeE só se via a cara das pessoas com tristeza e medoDeus me livre, quase que eu danceiDedo no gatilho era da leiSozinho e desarmado estava aliPra o diabo, os que me chamaram aquiFoi entãoTá dominado cowboy!"
"Anarkilópolis (Cowboy Fora Da Lei, parte. 2)","Eu estava na cidade comprando milho pras galinhasQuando um garoto chegou correndo para me avisarQue a diligência do correio tinha deixado uma carta pra mimUma carta? De quem seria essa merda? É, pois é, masAh, não é que era da prefeitura de AnarkilópolisMe convidando para uma festa da sua emancipaçãoOk boyWhisky de montão eu vou beberE fazer tudo que eu quero fazerCada um manda no seu narizPor isso que o povo lá é felizÉ isso aí!Meu filho, é isso aíAgoraMontei no meu silver-jegueE parti com o firme propósitoDe unir o útil ao agradávelPois Anarkilópolis era tambémO berço da minha amadaA bela Josefina LeeFilha única do meu amigoXerife James AdeanEnquanto o jegue seguia rinchandoEu seguia pela estrada cantandoEu não sou besta pra tirar onda de heróiSou vacinado, eu sou cowboyCowboy fora da leiDurango Kid só existe no gibiE quem quiser que fique aquiEntrar pra história é com vocêsQuando eu e meu jegue chegamos em AnarkilópolisPensei que tinha me enganado até de cidadeTinha uns caras mal encarados armados até os dentesPercebi logo a situaçãoOs bandidos haviam dominado o lugarE mantinham todos como refénsJames Adean não era mais o XerifeE só se via a cara das pessoas com tristeza e medoDeus me livre, quase que eu danceiDedo no gatilho era da leiSozinho e desarmado estava aliPra o diabo, os que me chamaram aquiFoi entãoTá dominado cowboy!Eu não sou besta pra tirar onda de heróiSou vacinado, eu sou cowboyCowboy fora da leiDurango Kid só existe no gibiE quem quiser que fique aquiEntrar pra história é com vocêsMeu filho, é isso aí"
"Angel","Angel, oh, angelYou are innocent heartIt's like a cristal, ow, hoAnd so it's only a false one could breakOnly a false one could break apartCan break apartSay now, girlYou are in the innocent heartYou are so fragile, ho ho owOnly a false one could breakOnly a false one could break apartCould break apartYou ""shines"" like the sunYou are the stars that ""bright"" on my mindYou do to us not everyone doJust like Willie Nelson should do somedayWho knows, girlAngel, oh, angelYou are innocent heartIt's like a cristal, ho, hoAnd only a false one could breakOnly a false one could break apart"
"Ângela","Mesmo que me aperte essa sensação sem nomeOu que me faça engolir a seco a minha sede é deÂngela, Ângela, ÂngelaQuantas vezes eu me quis negarMas o meu rio só corria em direção ao mar, em direção ao mar deÂngela, Ângela, ÂngelaRouba do meu leite agoraO gosto da minha vitóriaDo meu amor, do meu amor por mimEu que me achava o rei do fogo e dos trovõesEu assisti meu trono desabar cedendo as tentações, as tentações deÂngela, Ângela, ÂngelaMinha espada erguida para a guerra com toda fúria que ela encerra,No entanto, no entanto, é tão doce, tão doce paraÂngela, Ângela, Ângela"
"Anos 80","Hey! Anos 80!Charrete que perdeu o condutorHey! Anos 80!Melancolia e promessas de amorMelancolia e promessas de amor...É o juíz das 12 varasDe caniço e samburáDando atestadoQue o compositor errou...Gente afirmandoNão querendo afirmar nadaQue o cantor cantou erradoE que a censura concordouGente afirmandoNão querendo afirmar nadaQue o cantor cantou erradoE que a censura concordou...Hey! Anos 80!Charrete que perdeu o condutorEu disse: Hey! Hey! Anos 80Melancolia e promessas de amorMelancolia e promessas de amor...Hey! Abram Alas!Ai Viem Los Anios OitientaVai Mamacita, Ui!...Hey! Anos 80!Charrete que perdeu o condutorHey anos 80!Melancolia e promessas de amorMelancolia e promessas de amor...Pobre país carregadorDessa miséria divididaEntre IpanemaE a empregada do patrãoVarrendo lixoPrá debaixo do tapeteQue é supostamente persaPrá alegria do ladrãoVarrendo lixoPrá debaixo do tapeteQue é supostamente persaPrá alegria do ladrão...Hey! Anos 80! (Que barato!)Charrete que perdeu o condutorEu disse: Hey! Anos 80!Que esperançaSonho de um sonhador!..."
"Aos Trancos e Barrancos","Taí eu sou um cara que subi na vidaMorava no morro e agora moro no Leblon.Eu vou pendurado na janela,Vou mais pensando nelaQue esse sujo pelo chãoEu vou descascando a minha vida,Sujando a avenidaCom meu sangue de limãoRio de JaneiroVocê não me dá tempo de pensar com tantas coresSob este solPra que pensar se eu tenho o que queroTenho a nega, o meu bolero,A TV e o futebolEu não vou levando nosso leiteTroquei por um bilheteDa roleta federalEu vou pela pista do aterroE nem vejo meu enterroQue vai passando no jornal"
"Aquela Coisa","Meu sofrimento é fruto do que me ensinaram a serSendo obrigado a fazer tudo mesmo sem quererSimQuando o passado morreu e você não enterrouO sofrimento do vazio e da dorFicam ciúmes, preconceitos de amorE então, e entãoÉ preciso você tentarMas é preciso você tentarTalvez alguma coisa muito novaPossa lhe acontecerTalvez alguma coisa muito novaPossa lhe acontecerMinha cabeça só pensa aquilo que ela aprendeuPor isso mesmo, eu não confio nela eu sou mais euSimPra ser feliz é olhar as coisas como elas sãoSem permitir da gente uma falsa conclusãoSeguir somente a voz do seu coraçãoE então, e entãoÉ preciso você tentarMas é preciso você tentarTalvez alguma coisa muito novaPossa lhe acontecerTalvez alguma coisa muito novaPossa lhe acontecerE aquela coisa que eu sempre tanto procureiÉ o verdadeiro sentido da vidaAbandonar o que aprendi parar de sofrerViver é ser feliz e nada maisMas é preciso você tentarMas é preciso você tentarTalvez alguma coisa muito novaPossa lhe acontecerTalvez alguma coisa muito novaPossa lhe acontecerMas é preciso você tentarMas é preciso você tentarTalvez alguma coisa muito novaPossa lhe acontecerTalvez alguma coisa muito novaPossa lhe acontecer"
"Areia da Ampulheta","Eu sou a areia da ampulhetaO lado mais leve da balançaO ignorante cultivadoO cão raivoso inconscienteO boi diário servido em pratosO pivete encurraladoEu sou a areia da ampulhetaO vagabundo conformadoO que não sabe qual o ladoEspreita o pesar das pirâmidesCachaceiro mal amadoO triste-alegre adestradoEu sou a areia da ampulhetaO que ignora a existênciaDe que existem mais estadosSem ideia que é redondoO planeta onde vegetaEu sou a areia da ampulhetaEu sou a areiaEu sou a areia da ampulhetaMas o que carrega a sua bandeiraDe todo o lugar o mais desonradoNascido no lugar erradoEu sou, eu sou você"
"As Aventuras de Raul Seixas Na Cidade de Thor","Tá rebocado, meu compadreComo os donos do mundo piraramEles já são carrascos e vítimasDo próprio mecanismo que criaramO monstro SIST é retadoE tá doido pra transar comigoE sempre que você dorme de toucaEle fatura em cima do inimigoA arapuca está armadaE não adianta de fora protestarQuando se quer entrar num buraco de ratoDe rato você tem que transarBuliram muito com o planetaE o planeta como um cachorro eu vejoSe ele já não aguenta mais as pulgasSe livra delas num sacolejoHoje a gente já nem sabeDe que lado estão certos cabeludosTipo estereotipadoSe é da direita ou dá traseira não se sabe lá mais de que ladoEu que sou vivo pra cachorroNo que eu estou longe, eu tô pertoSe eu não estiver com Deus, meu filhoEu estou sempre aqui com o olho abertoA civilização se tornou tão complicadaQue ficou tão frágil como um computadorQue se uma criança descobrir o calcanhar de AquilesCom um só palito, para o motorTem gente que passa a vida inteiraTravando a inútil luta com os galhosSem saber que é lá no troncoQue está o coringa do baralhoQuando eu compus fiz Ouro de ToloUns imbecis me chamaram de profeta do apocalipseMas eles só vão entender o que eu faleiNo esperado dia do eclipseAcredite que eu não tenho nada a verCom a linha evolutiva da Música Popular BrasileiraA única linha que eu conheçoÉ a linha de empinar uma bandeiraEu já passei por todas as religiõesFilosofias, políticas e lutasAos 11 anos de idade eu já desconfiavaDa verdade absolutaRaul Seixas e RaulzitoSempre foram o mesmo homemMas pra aprender o jogo dos ratosTransou com Deus e com o lobisomem"
"As Minas do Rei Salomão","Entre, vem correndo para mimMeu princípio já chegou ao fimE o que me resta agora é o seu amorTraga a sua bola de cristalE aquele incenso do NepalQue você comprou num camelôE me empresta o seu colarQue um dia eu fui buscarNa tumba de um sábio faraóE me empresta o seu colarQue um dia eu fui buscarNa tumba de um sábio faraóVeja quanto livro na estante!Don Quixote, O Cavaleiro AndanteLuta a vida inteira contra o reiJoga as cartas, lê a minha sorteTanto faz a vida como a morteO pior de tudo eu já passeiDo passado me esqueciNo presente me perdiSe chamarem, diga que eu saíDo passado eu me esqueciNo presente eu me perdiSe chamarem, diga que eu saíVeja quanto livro na estante!Don Quixote, O Cavaleiro AndanteLuta a vida inteira contra o reiJoga as cartas, lê a minha sorteTanto faz a vida como a morteO pior de tudo eu já passeiDo passado eu me esqueciNo presente me perdiSe chamarem, diga que eu saíDo passado me esqueciNo presente me perdiSe chamarem, diga que eu saíHa!"
"As Profecias","Tem dias que a gente se senteUm pouco, talvez, menos genteUm dia daqueles sem graçaDe chuva cair na vidraçaUm dia qualquer sem pensarSentindo o futuro no arO ar, carregado, sutilUm dia de maio ou abrilSem qualquer amigo do ladoSozinho, em silêncio, caladoCom uma pergunta na almaPor que nessa tarde tão calmaO tempo parece parado?Está em qualquer profeciaDos sábios que viram o futuroDos loucos que escrevem no muroDas teias do sonho remotoEstouro, explosão, maremotoA chama da guerra acesaA fome sentada na mesaO copo com álcool no barO anjo surgindo no marOs selos de fogo, o eclipseOs símbolos do apocalipseOs séculos de NostradamusA fuga geral dos ciganosEstá em qualquer profeciaQue o mundo se acaba um diaUm gosto azedo na bocaA moça que sonha, a loucaO homem que quer mas se esqueceO mundo do dá ou do desceEstá em qualquer profeciaQue o mundo se acaba um diaSem fogo, sem sangue, sem aisO mundo dos nossos ancestraisAcaba sem guerras mortaisSem glórias de Mártir feridoSem um estrondo, mas com um gemidoOs selos de fogo, o eclipseOs símbolo do apocalipseA fuga geral do ciganosOs séculos de NostradamusEstá em qualquer profeciaQue o mundo se acaba um diaEstá em qualquer profeciaQue o mundo se acaba um diaEstá em qualquer profeciaQue o mundo se acaba um diaUm diaSim, sim, sim"
"Ave Maria da Rua","No lixo dos quintaisNa mesa do caféNo amor dos carnavaisNa mão, no pé, ohTu estás, tu estásNo tapa e no perdãoNo ódio e na oraçãoTeu nome é Yemanjah (Yemanjah)E é Virgem MariaÉ Glória e é CecíliaNa noite friaOh, minha mãeMinha filha tu és qualquer mulherMulher em qualquer diaBastou o teu olhar (Teu olhar)Pra me calar a vozDe onde está vocêRogai por nósOoooh, Ooooh!Minha mãe, minha mãeMe ensina a segurarA barra de te amarNão estou cantando sóCantamos todos nósMas cada um nasceuCom a sua voz,Ooooh, Ooooh!Pra dizer, pra falarDe forma diferenteO que todo mundo senteSegure a minha mãoQuando ela fraquejarE não deixe a solidãoMe assustarOoooh, Ooooh!Minha mãe, nossa mãee mata minha fomeNas letras do teu nomeOoooh, Ooooh!Minha mãe, nossa mãeE mata minha fomeNas letras do teu nomeOoooh, Ooooh!minha mãe, nossa mãeE mata minha fomeNa glória do teu nome."
"Babilina","Babilina babilinasaia do bordelOh babilina babilinasai desse bordelEu quero exclusividade do teu amorCutis cubidu-bilina por favor!Eu tava seco a muito tempo quando eu lhe conheci, provei do seu chamego e nunca mais me esqueciA noite cê trabalha diz que é pra me sustentar, passa o dia exausta que nem pode me olharÉ dentro de casa que eu te quero meu amor, larga desse emprego baby por favorBabilina babilinasaia do bordelOh babilina babilinasai desse bordelEu quero exclusividade do teu amorCutis cubidu-bilina por favor!Quando cê chega com a bolsa entupida de tutuImagino quanta gente se deu bem no meu baúVocê me garante que não sente nada nãoE que só comigo você tem satisfaçãoÉ dentro de casa que eu te quero meu amor, larga desse emprego baby por favorBabilina babilinasai desse bordelOh babilina babilinalarga desse bordel minha filhaEu quero exclusividade do teu amorCutis cubidu-bilina por favor!She is my girl, and i love her soI sad Cutis-cubidu-bilina go girl go!"
"Baby","Baby, hoje 'cê' faz treze anos,Vejo em seus olhos seus planos,Eu sei que você quer deitar,Não dá ouvido à razão, nãoQuem manda é seu coração, oh oh oh baby,Oh Baby,Abraça seus livros no peito,Esconde o que é tão perfeito,Eu sei que você quer deitar,Não dá ouvido à razão, nãoQuem manda é seu coração, oh oh oh baby,A madre da escola te ensina,A reconhecer o pecado,E o que você sente é ruim,Mas, baby, baby,Deus não é tão mal assim,Não, não, não, não...Baby, no quarto crescente da lua,Descobre a vontade que é suaEu sei que você quer deitar,Não dá ouvido à razão, nãoQuem manda é seu coração.A mancha do batom vermelho,Por que esconder no lençol,Se dentro da imagem do espelho...Baby, baby,O inferno é o fogo do solNão, não, não, não...Baby, hoje 'cê' faz treze anosVejo em seus olhos seus planos,Eu sei que você quer deitar,Não dá ouvido à razão, nãoQuem manda é o seu coração, oh oh oh baby.Não, nãoQuem manda é o seu coração..."
